Date,Arxiv Number,Title
2024-02-05,2311.01499,RABBITS -- I. The crucial role of nuclear star formation in driving the  coalescence of supermassive black hole binaries
2024-02-05,2311.04556,A GPR-Based Emulator for Semi-numerical Reionization Code SCRIPT:  Parameter Inference from 21 cm Data
2024-02-05,2311.12118,Intermediate-Mass Black Holes in Star Clusters and Dwarf Galaxies
2024-02-06,2402.01833,SMA detection of an extreme millimeter flare from the young class III  star HD 283572
2024-02-06,2402.01941,High-resolution Pan-STARRS and SMA observations of IRAS 23077+6707: A  giant edge-on protoplanetary disk
2024-02-06,2402.02022,Dust enrichment in the circum-galactic medium
2024-02-06,2402.02107,Study of Star-formation in Dual Nuclei Galaxies using UVIT observations
2024-02-06,2402.02393,Gas content and evolution of a sample of YSO associations at $d  \lesssim$ 3.5 kpc from the Sun
2024-02-06,2402.02529,A Unified Model for Bipolar Outflows from Young Stars: Kinematic and  Mixing Structures in HH 30
2024-02-06,2402.02679,Near-IR clumps and their properties in high-z galaxies with JWST/NIRCam
2024-02-06,2402.02728,The SAMI Galaxy Survey: Using Tidal Streams and Shells to Trace the  Dynamical Evolution of Massive Galaxies
2024-02-06,2402.02821,Sub-kpc scale gas density histogram of the Galactic molecular gas: a new  statistical method to characterise galactic-scale gas structures
2024-02-06,2402.03027,Stellar feedback impact on the ionized gas kinematics in the dwarf  galaxy Sextans B
2024-02-06,2402.03212,Angular Momentum Transport in Binary Star Formation: The Enhancement of  Magneto-Rotational Instability and Role of Outflows
2024-02-06,2402.03236,The Disruption of Dark Matter Minihalos by Successive Stellar Encounters
2024-02-06,2402.03288,The origin of kinematically-persistent planes of satellite galaxies as  driven by the early evolution of the local Cosmic Web in $Λ$CDM
2024-02-06,2402.01838,"Primordial black hole capture, gravitational wave beats, and the nuclear  equation of state"
2024-02-06,2307.02692,Metal-enriched Pair-instability supernovae: Effects of rotation
2024-02-06,2307.10354,Neutron Star Mergers and their Impact on Second Generation Star  Formation in the Early Universe
2024-02-06,2311.17895,Measurements of the Thermal and Ionization State of the Intergalactic  Medium during the Cosmic Afternoon
2024-02-06,2312.03224,Novel Hydrodynamic Schemes Capturing Shocks and Contact Discontinuities  and Comparison Study with Existing Methods
2024-02-06,2312.14702,The ALMaQUEST Survey XIV: do radial molecular gas flows affect the  star-forming ability of barred galaxies?
2024-02-06,2401.16155,Which stars can form planets: Planetesimal formation at low  metallicities
2024-02-06,2401.17327,Predicting the Heaviest Black Holes below the Pair Instability Gap
2024-02-07,2402.03419,Cold Gas Subgrid Model (CGSM): A Two-Fluid Framework for Modeling  Unresolved Cold Gas in Galaxy Simulations
2024-02-07,2402.03428,Explaining the high nitrogen abundances observed in high-z galaxies via  population III stars of a few thousand solar masses
2024-02-07,2402.03518,"Deep Learning Cosmic Ray Transport from Density Maps of Simulated,  Turbulent Gas"
2024-02-07,2402.03794,Simulating the epoch of Helium Reionization in photon-conserving  semi-numerical code SCRIPT
2024-02-07,2402.04001,"An ALMA molecular inventory of warm Herbig Ae disks: I. Molecular rings,  asymmetries and complexity in the HD 100546 disk"
2024-02-07,2402.04052,The impact of nebular Lyman-Continuum on ionising photons budget and  escape fractions from galaxies
2024-02-07,2402.04172,An overview of existing and new nuclear and astrophysical constraints on  the equation of state of neutron-rich dense matter
2024-02-07,2308.09608,Statistical association between the candidate repeating FRB 20200320A  and a galaxy group
2024-02-07,2310.13745,NGDEEP Epoch 1: Spatially Resolved H$α$ Observations of Disk and  Bulge Growth in Star-Forming Galaxies at $z \sim$ 0.6-2.2 from JWST NIRISS  Slitless Spectroscopy
2024-02-07,2310.16923,JWST NIRCam Photometry: A Study of Globular Clusters Surrounding Bright  Elliptical Galaxy VV 191a at z=0.0513
2024-02-07,2310.18395,Undermassive Host Galaxies of Five z~6 Luminous Quasars Detected with  JWST
2024-02-07,2402.01587,The Molecular Cloud Lifecycle II: Formation and Destruction of Molecular  Clouds Diagnosed via H$_2$ Fluorescent Emission Emission
2024-02-08,2402.04304,Ultra-deep imaging of NGC1052-DF2 and NGC1052-DF4 to unravel their  origins
2024-02-08,2402.04314,JWST observations of $^{13}$CO$_{2}$ ice: Tracing the chemical  environment and thermal history of ices in protostellar envelopes
2024-02-08,2402.04343,JWST Observations of Young protoStars (JOYS): Linked accretion and  ejection in a Class I protobinary system
2024-02-08,2402.04549,Applying Simulation-Based Inference to Spectral and Spatial Information  from the Galactic Center Gamma-Ray Excess
2024-02-08,1712.04452,Inferring the star-formation histories of massive quiescent galaxies  with BAGPIPES: Evidence for multiple quenching mechanisms
2024-02-08,2210.10055,Dynamical formation of black hole binaries in dense star clusters: the  Rapster code
2024-02-08,2304.00065,Primordial Stochastic Gravitational Wave Backgrounds from a Sharp  Feature in Three-field Inflation I: The Radiation Era
2024-02-08,2307.06994,Size - Stellar Mass Relation and Morphology of Quiescent Galaxies at  $z\geq3$ in Public $JWST$ Fields
2024-02-08,2310.17970,The role of turbulence in high-mass star formation: Subsonic and  transonic turbulence are ubiquitously found at early stages
2024-02-08,2401.08569,Resistively controlled primordial magnetic turbulence decay
2024-02-08,2401.12555,An Estimate of the Binary Star Fraction Among Young Stars at the  Galactic Center: Possible Evidence of a Radial Dependence
2024-02-09,2402.05165,The cold molecular gas in z>~6 quasar host galaxies
2024-02-09,2402.05168,Age uncertainties of red giants due to cumulative rotational mixing of  progenitors calibrated by asteroseismology
2024-02-09,2402.05186,On the evolution of the observed Mass-to-Length relationship for  star-forming filaments
2024-02-09,2402.05196,Interacting galaxies in the IllustrisTNG simulations -- VII: The  connection between the most luminous active galactic nuclei and galaxy  interactions
2024-02-09,2402.05207,Search for Brown Dwarfs in IC 1396 with Subaru HSC: Interpreting the  Impact of Environmental Factors on Sub-stellar Population
2024-02-09,2402.05240,Cholla-MHD: An Exascale-Capable Magnetohydrodynamic Extension to the  Cholla Astrophysical Simulation Code
2024-02-09,2402.05418,The Next Generation Virgo Cluster Survey. XXXVII. Distant RR Lyrae Stars  and the Milky Way Stellar Halo out to 300 kpc
2024-02-09,2402.05796,Cloud Formation by Supernova Implosion
2024-02-09,2402.05849,Full SED Analysis of z~0.5-6 Lensed Galaxies Detected with Millimeter  Observations
2024-02-09,2402.05922,"Horizontal branch structure, age, and chemical composition for very  metal-poor extragalactic globular clusters"
2024-02-09,2211.09815,Differentiable Cosmological Simulation with Adjoint Method
2024-02-09,2310.07642,Cosmology from LOFAR Two-metre Sky Survey Data Release 2:  Cross-correlation with the cosmic microwave background
2024-02-09,2310.10832,"WTP$\,$10aaauow: Discovery of a new FU Ori outburst towards the  RCW$\,$49 star-forming region in NEOWISE data"
2024-02-09,2311.02297,Candidate Members of the VMP/EMP Disk System of the Galaxy from the  SkyMapper and SAGES Surveys
2024-02-09,2402.04052,The impact of nebular Lyman-Continuum on ionising photons budget and  escape fractions from galaxies
